name;full_name;description;fork;html_url
galaxy;galaxyproject/galaxy;Data intensive science for everyone.;false;https://github.com/galaxyproject/galaxy
datajoint-python;datajoint/datajoint-python;Relational data pipelines for the science lab ;false;https://github.com/datajoint/datajoint-python
kedro;kedro-org/kedro;Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.;false;https://github.com/kedro-org/kedro
aws-step-functions-data-science-sdk-python;aws/aws-step-functions-data-science-sdk-python;Step Functions Data Science SDK for building machine learning (ML) workflows and pipelines on AWS;false;https://github.com/aws/aws-step-functions-data-science-sdk-python
deepvariant;google/deepvariant;DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.;false;https://github.com/google/deepvariant
accelerated-data-science;oracle/accelerated-data-science;ADS is the Oracle Data Science Cloud Service's python SDK supporting, model ops (train/eval/deploy), along with running workloads on Jobs and Pipeline resources.;false;https://github.com/oracle/accelerated-data-science
seq2science;vanheeringen-lab/seq2science;Automated and customizable preprocessing of Next-Generation Sequencing data, including full (sc)ATAC-seq, ChIP-seq, and (sc)RNA-seq workflows. Works equally easy with public as local data. ;false;https://github.com/vanheeringen-lab/seq2science
disdat;kyocum/disdat;Data science tool for creating and deploying pipelines with versioned data ;false;https://github.com/kyocum/disdat
babyds;Rock-River-Research/babyds;An AI-powered data science pipeline;false;https://github.com/Rock-River-Research/babyds
NIRSPEC-Data-Reduction-Pipeline;Keck-DataReductionPipelines/NIRSPEC-Data-Reduction-Pipeline;NSDRP was developed by the Keck Observatory Archive.  KOA is a collaboration between the NASA Exoplanet Science Institute and the W. M. Keck Observatory. NExScI is sponsored by NASA’s Exoplanet Program and operated by the California Institute of Technology in coordination with the Jet Propulsion Laboratory. Please contact the KOA Help Desk with questions: https://koa.ipac.caltech.edu/cgi-bin/Helpdesk/nph-genTicketForm?projname=KOA;false;https://github.com/Keck-DataReductionPipelines/NIRSPEC-Data-Reduction-Pipeline
DevOpsForAI;praneet22/DevOpsForAI;Deploy end to end ML/AI pipelines using Azure ML Service and Azure DevOps and take a Data Science (AI/ML) solution into Production.;false;https://github.com/praneet22/DevOpsForAI
ci-cd-pipeline-template-for-data-projects;zoltan-nz/ci-cd-pipeline-template-for-data-projects;CI/CD pipeline template for data science projects using GitLab CI and Kubernetes;false;https://github.com/zoltan-nz/ci-cd-pipeline-template-for-data-projects
prodmodel;prodmodel/prodmodel;Build, test, deploy, iterate - Dev and prod tool for data science pipelines;false;https://github.com/prodmodel/prodmodel
Deployment_Data_Science_Project;sawadogosalif/Deployment_Data_Science_Project;Deploy maching learning model in local / server /API /cloud/ dockers;false;https://github.com/sawadogosalif/Deployment_Data_Science_Project
DS-Pipeline;sumonbis/DS-Pipeline;This repository contains the source code and data used for the ICSE'22 paper on Data Science Pipeline.;false;https://github.com/sumonbis/DS-Pipeline
aqueduct;CityOfLosAngeles/aqueduct;A shared pipeline for building ETLs and batch jobs that we run at the City of LA for Data Science Projects. Built on Apache Airflow & Civis Platform ;false;https://github.com/CityOfLosAngeles/aqueduct
dsds;abstractqqq/dsds;Another take on data science pipelines.;false;https://github.com/abstractqqq/dsds
mlpl;ozanzgur/mlpl;A machine learning pipeline to speed up data science life cycle;false;https://github.com/ozanzgur/mlpl
villard;ariaghora/villard;A pipeline framework for data science projects;false;https://github.com/ariaghora/villard
python-snippets;dushyantkhosla/python-snippets;Useful Python snippets for data science and more;false;https://github.com/dushyantkhosla/python-snippets
CMIDAT01K-DATA-SCIENCE-for-IOT;robvdw/CMIDAT01K-DATA-SCIENCE-for-IOT;This course is designed to provide a basic grounding of the Internet of Things (IoT) and Data Science with a practical knowledge of the Raspberry Pi as the main device to build a consumer  IoT data pipeline. The aim is to equip students with hands-on experience to solve  basic IoT problems. Providing them with templates and a data-toolkit (code), which can be implemented through popular single board microcontrollers (Arduino and/or Raspberry Pi).;false;https://github.com/robvdw/CMIDAT01K-DATA-SCIENCE-for-IOT
dia_pipe;LSSTDESC/dia_pipe;Difference Image Analysis pipeline using LSST DM Science Pipelines developed for DESC Data Challenges;false;https://github.com/LSSTDESC/dia_pipe
unit-tests-ml-pipelines;agaravaglia/unit-tests-ml-pipelines;Repository example of implementing unit-tests for data science projects;false;https://github.com/agaravaglia/unit-tests-ml-pipelines
Piscine_Python_Data_Science.42;Chegashi/Piscine_Python_Data_Science.42;The piscine focuses on basic programming skills with Python and the most popular and useful data science libraries. The participants will be able to collect data with parsing, preprocess data using Pandas and SQL and build pipelines with machine learning algorithms.;false;https://github.com/Chegashi/Piscine_Python_Data_Science.42
datanectar;wesmadrigal/datanectar;A project for streamlining large scale ETL and data science pipelines.;false;https://github.com/wesmadrigal/datanectar
tv-show-recommendations;itsjafer/tv-show-recommendations;Machine learning pipeline trained offline that, given a TV Show, recommends 10 similar TV Shows using cosine similarities based on a variety of features;false;https://github.com/itsjafer/tv-show-recommendations
stau;connectedcars/stau;Data science pipeline tool for handling recurring workloads;false;https://github.com/connectedcars/stau
FRB_pipeline;federatedcloud/FRB_pipeline;A customizable scientific software pipeline for detecting, categorizing, and viewing single pulse candidates that may be Fast Radio Burst (FRB) sources in Radio Astronomy data.;false;https://github.com/federatedcloud/FRB_pipeline
pipedown;brendanhasz/pipedown;A data science pipelining framework for Python :shushing_face:;false;https://github.com/brendanhasz/pipedown
linkedin-data-science-job-tracker;napalm5/linkedin-data-science-job-tracker;Data pipeline with web interface to track real-time trends in the Data Science job market;false;https://github.com/napalm5/linkedin-data-science-job-tracker
DataSciencePipline;Serena-TT/DataSciencePipline;Data_science_pipeline;false;https://github.com/Serena-TT/DataSciencePipline
data_science_pipeline;nickruta/data_science_pipeline;This project demonstrates all of the technologies needed to create an end-to-end data science pipeline. This includes consuming data from an original source, processing and storing it and finally providing machine-learning based results to end users.;false;https://github.com/nickruta/data_science_pipeline
ploomber-pipeline-demo;noratenk/ploomber-pipeline-demo;A demo project using ploomber to demonstate data science pipeline using Jupyter notebooks as building blocks.;false;https://github.com/noratenk/ploomber-pipeline-demo
dspipeline;chrisferreyra13/dspipeline;Ultimate data science pipeline;false;https://github.com/chrisferreyra13/dspipeline
Science_report;TuanLe-BenKon/Science_report;Repo of online data pipeline and dashboard;false;https://github.com/TuanLe-BenKon/Science_report
DSND_Data_Pipeline;hendrik-sill/DSND_Data_Pipeline;Data Science Nanodegree ETL and Machine Learning Pipeline Project;false;https://github.com/hendrik-sill/DSND_Data_Pipeline
udacity_disaster_response_pipeline_project;feliche93/udacity_disaster_response_pipeline_project;Project for the Udacity Data Science Nanodegree;false;https://github.com/feliche93/udacity_disaster_response_pipeline_project
data_provenance_for_data_science;Lucass97/data_provenance_for_data_science;Backend with the purpose of capturing data provenance and metadata of a preprocessing Pipeline;false;https://github.com/Lucass97/data_provenance_for_data_science
AutomaticDataScience;bilan604/AutomaticDataScience;Automating the entire data science pipeline from loading the data to comparing trained model performance metrics;false;https://github.com/bilan604/AutomaticDataScience
