name;full_name;description;fork;html_url
transform;tensorflow/transform;Input pipeline framework;false;https://github.com/tensorflow/transform
fuel;mila-iqia/fuel;A data pipeline framework for machine learning;false;https://github.com/mila-iqia/fuel
pipelinewise;transferwise/pipelinewise;Data Pipeline Framework using the singer.io spec;false;https://github.com/transferwise/pipelinewise
mara-pipelines;mara/mara-pipelines;A lightweight opinionated ETL framework, halfway between plain scripts and Apache Airflow;false;https://github.com/mara/mara-pipelines
PipelineDP;OpenMined/PipelineDP;PipelineDP is a Python framework for applying differentially private aggregations to large datasets using batch processing systems such as Apache Spark, Apache Beam, and more.;false;https://github.com/OpenMined/PipelineDP
towhee;towhee-io/towhee;Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.;false;https://github.com/towhee-io/towhee
datapackage-pipelines;frictionlessdata/datapackage-pipelines;Framework for processing data packages in pipelines of modular components.;false;https://github.com/frictionlessdata/datapackage-pipelines
Niffler;Emory-HITI/Niffler;Niffler: A DICOM Framework for Machine Learning and Processing Pipelines.;false;https://github.com/Emory-HITI/Niffler
vehicle-detection;JunshengFu/vehicle-detection;Created vehicle detection pipeline with two approaches: (1) deep neural networks (YOLO framework) and (2) support vector machines ( OpenCV + HOG).;false;https://github.com/JunshengFu/vehicle-detection
karton;CERT-Polska/karton;Distributed malware processing framework based on Python, Redis and S3.;false;https://github.com/CERT-Polska/karton
pipen;pwwang/pipen;pipen - A pipeline framework for python;false;https://github.com/pwwang/pipen
LightAutoML;sberbank-ai-lab/LightAutoML;LAMA - automatic model creation framework;false;https://github.com/sberbank-ai-lab/LightAutoML
Neuraxle;Neuraxio/Neuraxle;The world's cleanest AutoML library ✨ - Do hyperparameter tuning with the right pipeline abstractions to write clean deep learning production pipelines. Let your pipeline steps have hyperparameter spaces. Design steps in your pipeline like components. Compatible with Scikit-Learn, TensorFlow, and most other libraries, frameworks and MLOps environments.;false;https://github.com/Neuraxio/Neuraxle
bodywork-core;bodywork-ml/bodywork-core;ML pipeline orchestration and model deployments on Kubernetes.;false;https://github.com/bodywork-ml/bodywork-core
jina;jina-ai/jina;☁️ Build multimodal AI applications with cloud-native stack;false;https://github.com/jina-ai/jina
PeekingDuck;aisingapore/PeekingDuck;A modular framework built to simplify Computer Vision inference workloads.;false;https://github.com/aisingapore/PeekingDuck
mosec;mosecorg/mosec;A high-performance ML model serving framework, offers dynamic batching and CPU/GPU pipelines to fully exploit your compute machine;false;https://github.com/mosecorg/mosec
cliboa;BrainPad/cliboa;application framework for ETL(ELT) pipeline, process;false;https://github.com/BrainPad/cliboa
pierogis;pierogis/pierogis;an image and animation processing framework;false;https://github.com/pierogis/pierogis
dlt-meta;databrickslabs/dlt-meta;This is metadata driven DLT based framework for bronze/silver pipelines;false;https://github.com/databrickslabs/dlt-meta
serverless-api-cross-account-cicd;awslabs/serverless-api-cross-account-cicd;Build CI/CD Pipeline for Cross Account Deployment of Lambda API Using Serverless Framework;false;https://github.com/awslabs/serverless-api-cross-account-cicd
pylada-light;pylada/pylada-light;A physics computational framework for python and ipython;false;https://github.com/pylada/pylada-light
dbnd;databand-ai/dbnd;DBND is an agile pipeline framework that helps data engineering teams track and orchestrate their data processes.;false;https://github.com/databand-ai/dbnd
multisensor-pipeline;DFKI-Interactive-Machine-Learning/multisensor-pipeline;The core library of the DFKI multisensor pipeline framework.;false;https://github.com/DFKI-Interactive-Machine-Learning/multisensor-pipeline
bifrost;ledatelescope/bifrost;A stream processing framework for high-throughput applications.;false;https://github.com/ledatelescope/bifrost
Anomaly-Detection-Pipeline-Kedro;kennethleungty/Anomaly-Detection-Pipeline-Kedro;Anomaly Detection Pipeline with Isolation Forest model and Kedro framework;false;https://github.com/kennethleungty/Anomaly-Detection-Pipeline-Kedro
Savior;novioleo/Savior;(WIP)The deployment framework aims to provide a simple, lightweight, fast integrated, pipelined deployment framework for algorithm service that ensures reliability, high concurrency and scalability of services.;false;https://github.com/novioleo/Savior
BioQueue;liyao001/BioQueue;A novel pipeline framework to accelerate bioinformatics analysis;false;https://github.com/liyao001/BioQueue
wishbone;smetj/wishbone;A Python framework to build composable event pipeline servers with minimal effort.;false;https://github.com/smetj/wishbone
llm-app;pathwaycom/llm-app;LLM App is a production framework for building and serving AI applications and LLM-enabled real-time data pipelines.;false;https://github.com/pathwaycom/llm-app
xp;druths/xp;A framework (comand line tool + libraries) for creating flexible compute pipelines;false;https://github.com/druths/xp
corral;toros-astro/corral;The Powerful Pipeline Framework;false;https://github.com/toros-astro/corral
MOT-Tracking-by-Detection-Pipeline;Kazuhito00/MOT-Tracking-by-Detection-Pipeline;Tracking-by-Detection形式のMOT(Multi Object Tracking)について、 DetectionとTrackingの処理を分離して寄せ集めたフレームワーク(Tracking-by-Detection method MOT(Multi Object Tracking) is a framework that separates the processing of Detection and Tracking.);false;https://github.com/Kazuhito00/MOT-Tracking-by-Detection-Pipeline
karton-classifier;CERT-Polska/karton-classifier;File type classifier for the Karton framework.;false;https://github.com/CERT-Polska/karton-classifier
versatile-data-kit;vmware/versatile-data-kit;One framework to develop, deploy and operate data workflows with Python and SQL.;false;https://github.com/vmware/versatile-data-kit
haystack;deepset-ai/haystack;:mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.;false;https://github.com/deepset-ai/haystack
