name;full_name;description;fork;html_url
APF;alercebroker/APF;apf is a framework developed to create a dockerized pipeline to process an alert stream, that can be easily be deployed in a local machine or distributed using Kubernetes.;false;https://github.com/alercebroker/APF
RoboPyPipeline;we45/RoboPyPipeline;Robot Framework Python Pipeline example;false;https://github.com/we45/RoboPyPipeline
griptape-flow;griptape-ai/griptape-flow;Python framework for building LLM workflows and pipelines with memory, rules, and chain of thought reasoning.;false;https://github.com/griptape-ai/griptape-flow
moona;katunilya/moona;Fairly simple railroad-oriented ASGI framework powered by monads and pipelines;false;https://github.com/katunilya/moona
ParSeq;kklmn/ParSeq;Python software library for Parallel execution of Sequential data analysis.;false;https://github.com/kklmn/ParSeq
drf-pipeline-views;MrThearMan/drf-pipeline-views;Django REST framework views using the pipeline pattern;false;https://github.com/MrThearMan/drf-pipeline-views
open-vfx-framework;trinix1975/open-vfx-framework;Visual Effects Pipeline Framework;false;https://github.com/trinix1975/open-vfx-framework
auto-generated-pipeline-framework;jason-jz-zhu/auto-generated-pipeline-framework;;false;https://github.com/jason-jz-zhu/auto-generated-pipeline-framework
pipedown;brendanhasz/pipedown;A data science pipelining framework for Python :shushing_face:;false;https://github.com/brendanhasz/pipedown
robotframework-circlecilibrary;trustedshops-public/robotframework-circlecilibrary;A extension for the Robot Framework to run and manage CircleCI pipelines;false;https://github.com/trustedshops-public/robotframework-circlecilibrary
midas;bioinformatics-ua/midas;MIDAS is a multi-framework DataLoader that can be leverage to produce highly efficient data pipelines;false;https://github.com/bioinformatics-ua/midas
niceml;codecentric-oss/niceml;" niceML 🍦 is a Python-based MLOps framework designed to streamline the development and maintenance of machine learning projects, offering efficient and scalable pipelines using TensorFlow and Dagster.";false;https://github.com/codecentric-oss/niceml
pyngsild;Orange-OpenSource/pyngsild;Python framework that helps you write a pipeline for your Fiware dataflow. It will be an equivalent to pyngsi (NGSIv2) but dedicated to NGSI-LD.;false;https://github.com/Orange-OpenSource/pyngsild
async-pipelines;alexkeating/async-pipelines;data processing framework;false;https://github.com/alexkeating/async-pipelines
karton-asciimagic;CERT-Polska/karton-asciimagic;Various decoders for ascii-encoded executables for Karton framework;false;https://github.com/CERT-Polska/karton-asciimagic
dyda;numbersprotocol/dyda;Dynamic data pipeline framework;false;https://github.com/numbersprotocol/dyda
