name;full_name;description;fork;html_url
public-apis;public-apis/public-apis;A collective list of free APIs;false;https://github.com/public-apis/public-apis
the-gan-zoo;hindupuravinash/the-gan-zoo;A list of all named GANs!;false;https://github.com/hindupuravinash/the-gan-zoo
public-apis;public-apis-dev/public-apis;A collaborative list of public APIs for developers;false;https://github.com/public-apis-dev/public-apis
Awesome-FL;youngfish42/Awesome-FL;Comprehensive and timely academic information on federated learning (papers, frameworks, datasets, tutorials, workshops);false;https://github.com/youngfish42/Awesome-FL
OpenShift-Guide;mikeroyal/OpenShift-Guide;OpenShift Guide. Learn about the Red Hat OpenShift Container Platform, Data Science, Code Ready Containers, Podman, Buildah, and Kubernetes.;false;https://github.com/mikeroyal/OpenShift-Guide
BP-prediction-survey;v3551G/BP-prediction-survey;;false;https://github.com/v3551G/BP-prediction-survey
arxiv-daily;beiyuouo/arxiv-daily;🎓 Automatically Update Some Fields Papers Daily using Github Actions (Update Every 12th hours);false;https://github.com/beiyuouo/arxiv-daily
daily_arxiv;zhuwenxing/daily_arxiv;Using GitHub Action to collect paper list with publicly available source code in the daily arxiv;false;https://github.com/zhuwenxing/daily_arxiv
Data-Science-Roadmap-v1;BioInformatica-Labs/Data-Science-Roadmap-v1;Data Science Roadmap Guide;false;https://github.com/BioInformatica-Labs/Data-Science-Roadmap-v1
nlp-arxiv-daily;monologg/nlp-arxiv-daily;Automatically Update NLP Papers Daily using Github Actions (ref: https://github.com/Vincentqyw/cv-arxiv-daily);false;https://github.com/monologg/nlp-arxiv-daily
Zappa;zappa/Zappa;Serverless Python ;false;https://github.com/zappa/Zappa
cv-arxiv-daily;DWCTOD/cv-arxiv-daily;;false;https://github.com/DWCTOD/cv-arxiv-daily
apis_public;puri3/apis_public;;false;https://github.com/puri3/apis_public
awesome;amorist/awesome;manage my github star;false;https://github.com/amorist/awesome
apis-publicas;rleitecosta/apis-publicas;https://github.com/public-apis/public-apis;false;https://github.com/rleitecosta/apis-publicas
awesome-free-mit;SuperSonicHub1/awesome-free-mit;A collection of free stuff you can get at the Massachusetts Institute of Technology.;false;https://github.com/SuperSonicHub1/awesome-free-mit
Public_APIs;slmsshk/Public_APIs;;false;https://github.com/slmsshk/Public_APIs
fucking-public-apis;Correia-jpv/fucking-public-apis;A collective list of free APIs. With repository stars⭐ and forks🍴;false;https://github.com/Correia-jpv/fucking-public-apis
DaliyAction;uivid64/DaliyAction;GitHub Actions for Daily Subscription;false;https://github.com/uivid64/DaliyAction
ai_ml;sksoumik/ai_ml;Theoretical notes on Machine Learning;false;https://github.com/sksoumik/ai_ml
APIs-Publicos;arnaldo-tomo/APIs-Publicos;A collective list of free APIs for use in software and web development;false;https://github.com/arnaldo-tomo/APIs-Publicos
Arxiv-NLP-Reporter;JackHCC/Arxiv-NLP-Reporter;每日自动获取Arxiv上NLP相关最新论文【Arxiv Natural Language Processing Paper Automatic Crawl Daily】;false;https://github.com/JackHCC/Arxiv-NLP-Reporter
PythonWebApis;Jack840517/PythonWebApis;;false;https://github.com/Jack840517/PythonWebApis
public-apis;andresGitDev/public-apis;Public Apis;false;https://github.com/andresGitDev/public-apis
Public-APIs;ahmedgamaall/Public-APIs;;false;https://github.com/ahmedgamaall/Public-APIs
public-apis;morimario888/public-apis;public-apis;false;https://github.com/morimario888/public-apis
public-apis;artyang/public-apis;;false;https://github.com/artyang/public-apis
awesome-stars;sunlei/awesome-stars;My GitHub stars.;false;https://github.com/sunlei/awesome-stars
awesome-from-stars;krzemienski/awesome-from-stars;;false;https://github.com/krzemienski/awesome-from-stars
vocabulary;zxyle/vocabulary;Computer Science Vocabulary;false;https://github.com/zxyle/vocabulary
DailyArxiv;shu-le/DailyArxiv;;false;https://github.com/shu-le/DailyArxiv
reqbase;LatticeData/reqbase;;false;https://github.com/LatticeData/reqbase
naming;wklken/naming;Naming is the most difficult part of programming, this repo may save your time.;false;https://github.com/wklken/naming
Zappa;powermobileweb/Zappa;Serverless Python https://blog.zappa.io/;false;https://github.com/powermobileweb/Zappa
