index;included;reason;reason_other;search query;name;full_name;description;fork;html_url
16;true;REASON;REASON_OTHER;pipeline framework language:python@page2;griptape-flow;griptape-ai/griptape-flow;Python framework for building LLM workflows and pipelines with memory, rules, and chain of thought reasoning.;false;https://github.com/griptape-ai/griptape-flow
18;true;REASON;REASON_OTHER;pipeline framework language:python@page2;ParSeq;kklmn/ParSeq;Python software library for Parallel execution of Sequential data analysis.;false;https://github.com/kklmn/ParSeq
37;true;REASON;REASON_OTHER;pipeline framework language:python@page2;data-pipeline-demo-1;AlexandreGarito/data-pipeline-demo-1;This project is a Python-coded and GCP-hosted micro-ETL data pipeline and interactive dashboard that displays API data using the Dash-Plotly web framework, updated daily using DevOps tools such as CI/CD, Docker, and Airflow.;false;https://github.com/AlexandreGarito/data-pipeline-demo-1
61;true;REASON;REASON_OTHER;pipeline framework language:python@page2;spine;shaharluftig/spine;Spine: the backbone of your data pipeline.;false;https://github.com/shaharluftig/spine
72;true;REASON;REASON_OTHER;pipeline framework language:python@page2;CCAugmentation;pijuszczyk/CCAugmentation;Data preprocessing & augmentation framework, designed for working with crowd counting datasets, ML/DL framework-independent. Supports multitude of simple as well as advanced transformations, outputs and loaders, all of them to be combined using pipelines.;false;https://github.com/pijuszczyk/CCAugmentation
91;true;REASON;REASON_OTHER;data warehouse analysis language:python;runpandarun;simonwoerpel/runpandarun;A simple interface for reproducible & persistent data warehousing for small data analysis projects;false;https://github.com/simonwoerpel/runpandarun
105;true;REASON;REASON_OTHER;pipeline data science language:python;kedro;kedro-org/kedro;Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.;false;https://github.com/kedro-org/kedro
110;true;REASON;REASON_OTHER;pipeline data science language:python;disdat;kyocum/disdat;Data science tool for creating and deploying pipelines with versioned data ;false;https://github.com/kyocum/disdat
121;true;REASON;REASON_OTHER;pipeline data science language:python;villard;ariaghora/villard;A pipeline framework for data science projects;false;https://github.com/ariaghora/villard
129;true;REASON;REASON_OTHER;pipeline data science language:python;stau;connectedcars/stau;Data science pipeline tool for handling recurring workloads;false;https://github.com/connectedcars/stau
159;true;REASON;REASON_OTHER;modular data pipeline language:python;datapackage-pipelines;frictionlessdata/datapackage-pipelines;Framework for processing data packages in pipelines of modular components.;false;https://github.com/frictionlessdata/datapackage-pipelines
229;true;REASON;REASON_OTHER;modular data pipeline;XTL;brendon-ng/XTL;XTL - An Extensible Extract-Transform-Load (ETL) framework that streamlines data transfers between big data systems using a simple JSON configuration-based interface. XTL minimizes the programming needed for data transfer and processing, by providing a configuration-based modular and extensible structure for common data pipeline tasks.;false;https://github.com/brendon-ng/XTL
233;true;REASON;REASON_OTHER;modular data pipeline;Dunya;AlainDaccache/Dunya;Modular infrastructure for the Data Engineering, Data Science, and ML Engineering lifecycle. Serves as a generic baseline to kickstart Artificial and Business Intelligence pipelines with industry practices.;false;https://github.com/AlainDaccache/Dunya
236;true;REASON;REASON_OTHER;pipeline framework language:python;transform;tensorflow/transform;Input pipeline framework;false;https://github.com/tensorflow/transform
238;true;REASON;REASON_OTHER;pipeline framework language:python;pipelinewise;transferwise/pipelinewise;Data Pipeline Framework using the singer.io spec;false;https://github.com/transferwise/pipelinewise
239;true;REASON;REASON_OTHER;pipeline framework language:python;mara-pipelines;mara/mara-pipelines;A lightweight opinionated ETL framework, halfway between plain scripts and Apache Airflow;false;https://github.com/mara/mara-pipelines
240;true;REASON;REASON_OTHER;pipeline framework language:python;PipelineDP;OpenMined/PipelineDP;PipelineDP is a Python framework for applying differentially private aggregations to large datasets using batch processing systems such as Apache Spark, Apache Beam, and more.;false;https://github.com/OpenMined/PipelineDP
246;true;REASON;REASON_OTHER;pipeline framework language:python;pipen;pwwang/pipen;pipen - A pipeline framework for python;false;https://github.com/pwwang/pipen
248;true;REASON;REASON_OTHER;pipeline framework language:python;Neuraxle;Neuraxio/Neuraxle;The world's cleanest AutoML library ✨ - Do hyperparameter tuning with the right pipeline abstractions to write clean deep learning production pipelines. Let your pipeline steps have hyperparameter spaces. Design steps in your pipeline like components. Compatible with Scikit-Learn, TensorFlow, and most other libraries, frameworks and MLOps environments.;false;https://github.com/Neuraxio/Neuraxle
253;true;REASON;REASON_OTHER;pipeline framework language:python;cliboa;BrainPad/cliboa;application framework for ETL(ELT) pipeline, process;false;https://github.com/BrainPad/cliboa
260;true;REASON;REASON_OTHER;pipeline framework language:python;bifrost;ledatelescope/bifrost;A stream processing framework for high-throughput applications.;false;https://github.com/ledatelescope/bifrost
263;true;REASON;REASON_OTHER;pipeline framework language:python;BioQueue;liyao001/BioQueue;A novel pipeline framework to accelerate bioinformatics analysis;false;https://github.com/liyao001/BioQueue
270;true;REASON;REASON_OTHER;pipeline framework language:python;versatile-data-kit;vmware/versatile-data-kit;One framework to develop, deploy and operate data workflows with Python and SQL.;false;https://github.com/vmware/versatile-data-kit
285;true;REASON;REASON_OTHER;pipeline framework language:python;SmartPipeline;giacbrd/SmartPipeline;A framework for rapid development of robust data pipelines following a simple design pattern;false;https://github.com/giacbrd/SmartPipeline
287;true;REASON;very_simplistic;pipeline framework language:python;thepipe;tamasgal/thepipe;A simplistic, general purpose pipeline framework.;false;https://github.com/tamasgal/thepipe
288;true;REASON;REASON_OTHER;pipeline framework language:python;PipeLayer;greater-than/PipeLayer;A lightweight, event-driven, pipeline framework. ;false;https://github.com/greater-than/PipeLayer
306;true;REASON;REASON_OTHER;pipeline framework language:python;debussy_concert;debussy-labs/debussy_concert;Debussy is an opinionated Data Architecture and Engineering framework, enabling data analysts and engineers to build better platforms and pipelines.;false;https://github.com/debussy-labs/debussy_concert
329;true;REASON;REASON_OTHER;pipeline framework language:python;luisy;boschglobal/luisy;A Python framework to build reproducible, robust, and scalable data pipelines;false;https://github.com/boschglobal/luisy
