id;search_query;name;full_name;description;fork;html_url
1;pipeline data transformation mobile health;public-apis;public-apis/public-apis;A collective list of free APIs;false;https://github.com/public-apis/public-apis
2;pipeline data transformation mobile health;the-gan-zoo;hindupuravinash/the-gan-zoo;A list of all named GANs!;false;https://github.com/hindupuravinash/the-gan-zoo
3;pipeline data transformation mobile health;public-apis;public-apis-dev/public-apis;A collaborative list of public APIs for developers;false;https://github.com/public-apis-dev/public-apis
4;pipeline data transformation mobile health;Awesome-FL;youngfish42/Awesome-FL;Comprehensive and timely academic information on federated learning (papers, frameworks, datasets, tutorials, workshops);false;https://github.com/youngfish42/Awesome-FL
5;pipeline data transformation mobile health;OpenShift-Guide;mikeroyal/OpenShift-Guide;OpenShift Guide. Learn about the Red Hat OpenShift Container Platform, Data Science, Code Ready Containers, Podman, Buildah, and Kubernetes.;false;https://github.com/mikeroyal/OpenShift-Guide
6;pipeline data transformation mobile health;BP-prediction-survey;v3551G/BP-prediction-survey;;false;https://github.com/v3551G/BP-prediction-survey
7;pipeline data transformation mobile health;arxiv-daily;beiyuouo/arxiv-daily;🎓 Automatically Update Some Fields Papers Daily using Github Actions (Update Every 12th hours);false;https://github.com/beiyuouo/arxiv-daily
8;pipeline data transformation mobile health;daily_arxiv;zhuwenxing/daily_arxiv;Using GitHub Action to collect paper list with publicly available source code in the daily arxiv;false;https://github.com/zhuwenxing/daily_arxiv
9;pipeline data transformation mobile health;Data-Science-Roadmap-v1;BioInformatica-Labs/Data-Science-Roadmap-v1;Data Science Roadmap Guide;false;https://github.com/BioInformatica-Labs/Data-Science-Roadmap-v1
10;pipeline data transformation mobile health;nlp-arxiv-daily;monologg/nlp-arxiv-daily;Automatically Update NLP Papers Daily using Github Actions (ref: https://github.com/Vincentqyw/cv-arxiv-daily);false;https://github.com/monologg/nlp-arxiv-daily
11;pipeline data transformation mobile health;Zappa;zappa/Zappa;Serverless Python ;false;https://github.com/zappa/Zappa
12;pipeline data transformation mobile health;cv-arxiv-daily;DWCTOD/cv-arxiv-daily;;false;https://github.com/DWCTOD/cv-arxiv-daily
13;pipeline data transformation mobile health;apis_public;puri3/apis_public;;false;https://github.com/puri3/apis_public
14;pipeline data transformation mobile health;awesome;amorist/awesome;manage my github star;false;https://github.com/amorist/awesome
15;pipeline data transformation mobile health;apis-publicas;rleitecosta/apis-publicas;https://github.com/public-apis/public-apis;false;https://github.com/rleitecosta/apis-publicas
16;pipeline data transformation mobile health;awesome-free-mit;SuperSonicHub1/awesome-free-mit;A collection of free stuff you can get at the Massachusetts Institute of Technology.;false;https://github.com/SuperSonicHub1/awesome-free-mit
17;pipeline data transformation mobile health;Public_APIs;slmsshk/Public_APIs;;false;https://github.com/slmsshk/Public_APIs
18;pipeline data transformation mobile health;fucking-public-apis;Correia-jpv/fucking-public-apis;A collective list of free APIs. With repository stars⭐ and forks🍴;false;https://github.com/Correia-jpv/fucking-public-apis
